cmd,nl
"find /home/*/public_html/ -type f -iwholename ""*/wp-includes/version.php"" -exec grep -H ""\$wp_version ="" {} \;",identify cms version/releases accross all your wordpress websites
"find . -name ""*.txt"" -exec ls -la {} \; -exec ./myScript.sh {} \;",display long listing of all the text files in the current folder and then execute the script myscript.sh by passing the output of previous exec as input
find . -maxdepth 1 -type f -print0 | xargs -0 sed -i 's/toreplace/replaced/g',find all regular files under current directory (no subdirectories) and replace every occurrences of 'toreplace' with 'replace' in those files
"read -p ""`pwd -P`\$ "" _command","read a line of standard input into variable ""_command"" with the prompt as the current working directory followed by ""$"""
find / -type d -perm 0777,find all directories starting from / that have permissions 777
find /var/log/ -mtime +7 -mtime -8,find files in the /var/log folder which were modified modified 2 weeks ago
foo=$(false)$(true),returns exit status 0.
find . -type f -exec chmod 664 {} \;,change the permissions of all regular/normal files in the current directory
"me=`basename -- ""$0""`","set the variable ""me"" to the name of the running script, or shell, login shells have a hyphen appended to the beginning of the name, such as ""-bash""."
od -xcb input_file_name | less,"dump ""input_file"" as a 2 byte hexadecimal, character, and octal value and view the contents in ""less"""
cat filename,"print the contents of ""filename"""
crontab filename,"add cron lists from ""filename"" to list of cron jobs, giving errors for any lines that cannot be parsed by crontab."
"find -printf ""%P\n""| sort | xargs -I '{}' bash -c 'echo $(uuid) {}'",generate uuids for the files from the current directory tree
"line_to_be_replaced=`cat itemlist.json | nl |  sed -n '/""item_1""/,/""item_2""/p' | grep -in ""}]"" | awk '{print $2}'`","save the line number matching ""}]"" in lines starting with ""item_1"" to ""item_2"" in ""itemlist.json"" to variable ""line_to_be_replaced"""
find /home -size +100000 -ls 2>/dev/null,dispaly a long listig of all the files in the home folder which are bigger than 100kb and discard any errors
sudo rm -rf /usr/local/bin/npm /usr/local/share/man/man1/node* /usr/local/lib/dtrace/node.d ~/.npm ~/.node-gyp /opt/local/bin/node opt/local/include/node /opt/local/lib/node_modules,removes all listed folders with content in sudo mode.
"read -e -i ""yes"" -p ""Enter your choice: "" choice","read a line from standard input with prompt ""enter your choice: "", arrow keys enabled, and ""yes"" as the default input, and save the response to variable ""choice"""
find . -depth -empty -type d -delete,remove empty directories from the current directory tree
"echo ""$b"" | grep --only-matching ""[$a]"" | xargs | tr --delete ' '",print the characters in $b that match with any character in $a without printing any whitespace in-between
"rsync -auve ""ssh -p 2222"" . me@localhost:/some/path","archive current directory to ""/some/path"" on localhost, using ssh to authentify as user ""me"", only update files that are newer in the source directory."
find . -maxdepth 4 -name 'restore.php',locate all files named 'restore.php' in the current directory and 3 levels below
path=$(basename $(pwd) | tr 'A-Z' 'a-z' ),set variable 'path' to name of current directory (without the containing directories) converted to lowercase.
date --date='1 days ago' '+%a',print the day 1 day ago
cat $(echo $FILES | sort) | md5sum,"calculate the md5 sum of the contents of the sorted list of files ""$files"""
"sh -c ""find / -name myfile -type f -print 2> /dev/null""","create a sub shell and search for regular/normal file with the name ""myfile"" in the entire file system and discard all the errors"
"cp -r `ls -A | grep -v ""c""` $HOME/",recursively copies all files in the current directory but ones with 'c' in name to the home directory.
mount --rbind /dev /var/snmp3/dev,"recursively bind ""/dev"" to ""/var/snmp3/dev"""
find . -ls,list all files/directories under current directory
split -b 10 input.txt /tmp/split-file,"split ""input.txt"" into files of at most 10 bytes each with prefix ""/tmp/split-file"""
df -k /some/dir,report file system containing path to /some/dir disk usage in kilobytes.
"find . -name ""*.old"" -exec mv {} oldfiles \;",find all *.old files and move them to directory oldfiles
find /work -user olivier -print,"find all the files in the folder /work which belong to the user ""olivier"""
comm -3 a b | sed 's/^\t//',"print unique lines of sorted file ""a"" and ""b"" and remove leading tabs"
"find ~/.personal/tips -type f -iname ""*.pdf""  -exec pdftotext '{}' - ';'  | grep hot","search all .pdf files  from directory tree ~/.personal/tips for ""hot"""
find . -prune -print,display all files in the current folder after pruning those in the current folder ( dot is the output of this command )
find . -name '*.pdf' -print,search the current directory and all of its sub-directory for any pdf files being careful to prevent the shell from expanding anything in '*.pdf'  before it'ss passed to find.
"bind -x '""\eW"":""who""'","execute command ""who"" when key ""\ew"" is pressed"
"find -type f -name ""STATUS.txt"" -exec grep -q ""OPEN"" {} \; -exec dirname {} \;",recursively finds all 'status.txt' files containing text 'open' and prints containing folder of them.
"find / -type f -size +20000k -exec ls -lh {} \; 2> /dev/null | awk '{ print $NF "": "" $5 }' | sort -nrk 2,2",find files on the system that are bigger than 20 megabytes and show the sorted list of their filenames
find / -path /usr/share -prune -o \( -name rsync -o -name bash \) -print 2>/dev/nul,search for bash and rsync files in the entire file system excluding search in the path /usr/share folder and discard all the errors
find -type d > dir-list,find all the files in the current folder and save the output to the file dir-list
groups                                        //take a look at the groups and see,prints groups list that current user belongs to.
find ./ -name *.undo | xargs wc,"find all the undo files in the current folder and display the toal lines, words, characters"
split bigfile /lots/of/little/files/here,"split ""bigfile"" into files of at most 1000 lines each with prefix ""/lots/of/little/files/here"""
diff -r dir1/ dir2/,display differences between directories dir1 and dir2.
find . -maxdepth 1 -name 'onlyme*',find all files/directories startring with 'onlyme' in their names under current directory without going into sub-directories
watch elinks -dump file.html,"execute ""elinks -dump file.html"" every 2 seconds"
find . -type d ! -iname '*.*' | while read d; do mv $d/* .; done,find all directories in the current directory tree whose names do not contain '.' and move their contents to the current directory
find /usr -type f -name backup -print,search normal files called ' banckup '  from /usr directory downward and print them.
"find . -type d -name bin | cut -d/ -f1,2 | sort > b",find the top level directories that contain a 'bin' directory in it or in one of it's sub-directories and print a sorted list to file b
"find . -printf ""%P\n"" | sort | while IFS= read -r f; do echo ""$(uuid) $f""; done",generate uuids for the files from the current directory tree
find $some_directory '.*' -delete,delete all hidden files/directories under $some_directory including $some_directory
"find /path -name '*.pdf' -exec sh -c 'pdftotext ""{}"" - | grep --with-filename --label=""{}"" --color ""your pattern""' \;","find all pdf files in /path and search for ""your pattern"" in the converted text output and print the paths to the matching files"
tar czvf mytarfile.tgz `find . -mtime -30`,archive all files in a current directory modified in the last 30 days
"find ${x} -type f -exec chmod ug=rw,o= '{}' \;",find all files under $x directory and set read-write permission for owner and group and no permission for other for those files
rev input | uniq -f1 | rev,remove adjascent duplicate lines from file 'input' comparing all but last space-separated fields
"file=$( basename ""$1"" )","set variable 'file' to the base name of first argument to script or function, that is the part following the last slash."
find . -maxdepth 1 -type d -print0 | xargs -0 -I {} sh -c 'echo  $(find {} | wc -l) {}' | sort -n,"counts all files in a current folder and in subfolders one-level lower, and sort folder list by number of files within."
"find .|grep ""FooBar""|xargs -I{} cp ""{}"" ~/foo/bar",find all files/directories under current directory with 'foobar' in their paths and copy them to ~/foo/bar
watch --color 'tput setaf 1; echo foo',execute 'tput setaf 1; echo foo' with color support every 2 seconds
"cat filename | awk '{print length, $0}'|sort -nr|head -1",prints the length and contents of the longest line in filename
git status --branch --porcelain | grep '##' | cut -c 4- | cut -d'.' -f1,print git branch currently checked out in a working directory.
DISPLAY=`hostname`:0 skype,"set the environment variable ""display"" to the system host name followed by "":0 skype"""
shopt -u extglob,unsets shell option 'extglob'.
find / -maxdepth 2 \( -fstype vfat -or -fstype ntfs \) 2> /dev/null,search the root directory and its subdirectories for files risiding on ntfs or vfat filesystems
find /home/www/ ! -executable,find not-executable files under /home/www
watch ls -l,"execute ""ls -l"" every 2 seconds"
yes | tr \\n x | head -c $BYTES | grep n,"use ""$bytes"" amount of ram with no output"
dig @some.other.ip.address domain. a,print a record for domain 'domain.' from 'some.other.ip.address' nameserver
find . -type f -exec stat {} \; > /dev/null,display file status for all regular files in the current directory tree suppressing error messages
sed 's/^/.+/' infile | bc | tail -1,"mathematically sum all lines in ""infile"""
comm -23 <(sort fileA) <(cut -d' ' -f1 fileB | sort -u),"extract any line in ""filea"" which does not appear as the first word of any line in ""fileb"""
fgrep --include='STATUS.txt' -rl 'OPEN' | xargs -L 1 dirname,recursively finds all 'status.txt' files containing text 'open' and prints containing folder of them.
find . -type d -exec /path/to/script.sh '{}' \;,find all directories under current directory and run  /path/to/script.sh for each of them
echo 127.0.0.1 ad.doubleclick.net | sudo tee -a /etc/hosts,"write ""127.0.0.1 ad.doubleclick.net"" to the console and append to ""/etc/hosts"" as root"
mount | tail -1 | sed 's/ on .* ([^)]*)$//',print the last mounted drive
find ~ -type f -name test-a -execdir mv {} test-10 \;,"find all the files in the current folder with the name ""test-a"" and move them to the folder test-10. execdir runs the command in the directory where the file is found."
find * -type f -print -o -type d -prune,find all the files in the current directory
"find A \! -path ""A/a/*"" -a \! -path ""A/a""",find all files/directories under 'a' directory tree excluding directory 'a/a' and all of it's contents
"gnuplotscript=$(mktemp /tmp/gnuplot_cmd_$(basename ""${0}"").XXXXXX.gnuplot)","creates temporary file with file name formatted like /tmp/gnuplot_cmd_$(basename ""${0}"").xxxxxx.gnuplot and saves path to it in a variable 'gnuplotscript'."
find . -depth -path './.*' -prune -o -print,find all files under current directory excluding hidden files
find . -name \*.mp3 -print0 | xargs -0 mplayer,find all *.mp3 files under current directory and run mplayer with these files
"fold -w3 ""$1"" | sort | uniq -c | sort -k1,1nr -k2","list unique series of 3 characters in file ""$1"" prefixed by the number of occurrences and sorted from most frequent to least frequent"
mount -t proc none /var/snmp3/proc,"mount ""proc"" file system on ""/var/snmp3/proc"""
"md5sum ""$source_file"" ""$dest_file""",calculate md5 sum of files $source_file and $dest_file
rest_cmd=$(shopt -p dotglob),gets state of shell option 'dotglob' and saves it in 'rest_cmd' variable.
find . -type f -print0 | xargs -0 chmod go+r,find all files under current directory and set read permission for group and other for these files
find relative/path/to/dir -type f -exec md5sum {} + > sums.md5,"find all files under relative/path/to/dir, calculate their md5sum and redirect the result to sums.md5"
sudo ln -s /usr/bin/perl /usr/local/bin/perl`echo -e '\r'`,"create a symbolic link to file ""/usr/bin/perl"" named with escaped characters ""/usr/local/bin/perl\r\n"""
"find . -type d -mtime 14 -printf ""%P\n"" > deploy.txt",save the list of directories modified a fortnight ago to `deploy.txt' removing the leading ./ from the file names
$dig -x 8.8.8.8 | grep  PTR | grep -o google.*,get domain name from dig reverse lookup.
"comm -23 ""File 1"" ""File 2""","print unique lines of sorted ""file 1"" compared with sorted ""file 2"""
"echo ""abcdefg"" | fold -w1","print each character of ""abcdefg"" on a line"
"ruby -e ""$(curl -fsSL https://raw.github.com/Homebrew/homebrew/go/install)""","silently download contents from https://raw.github.com/homebrew/homebrew/go/install and show an error if failed, execute with ruby after the download is completed"
"find / -type f -printf ""\n%AD %AT %p"" | head -n 11",display top 11 files along with the last access date for all the files in the file system
"find . -name ""orm.properties""",find all files/directories named orm.properties under current directory
ping youhostname.local,"send ping requests to ""yourhostname.local"""
"find . -type f -name ""*.java"" | xargs    tar cvf myfile.tar",find *.java files under current directory and compress them to myfile.tar  (unsafe)
mv * /foo,"move all files and directories in the current directory to ""/foo"""
set -v,set the 'verbose' shell option causing bash to print shell input lines as they are read
find /var/log/ -iname anaconda*,search for files/directories with the case insensitive pattern anaconda* in /var/log
find . -perm /g+s | head,find all sgid set files under current directory and show a few lines of output from the beginning
"find . -maxdepth 1 -type f -printf '%T@ %p\0' | sort -r -z -n | awk 'BEGIN { RS=""\0""; ORS=""\0""; FS="""" } NR > 5 { sub(""^[0-9]*(.[0-9]*)? "", """"); print }' | xargs -0 rm -f",removes all files from current folder but 5 newest ones.
"cal 09 2009 | awk '{day=""9""; if (NR==4) {col=index($0,day); print col } }'","print position number of day '9' in fourth line of calendar output for september, 2009."
shopt -s nullglob extglob,sets shell options 'extglob' and 'nullglob'.
find . -maxdepth 3 -type f,display all the normal/regular files in the current folder and do not go beyond 3 levels
cat ${TMP}/${SCRIPT_NAME}.pid|sort -rh;,"reversibly sorts content of the '${tmp}/${script_name}.pid' file, comparing human readable numbers in file strings."
sudo chown -R :laravel ./storage,"recursively change the group ownership to ""laravel"" in ""./storage"""
find / -name *.class -printf '%h\n' | sort --unique,list the unique parent directories of all .class files found in the entire filesystem
rsync /dev/null node:existing-dir/new-dir/,"create a new directory ""existing-dir/new-dir/"" on host ""node"""
cat `which ~/f`,"display the content of file ""f"" in home directory if it exists and is executable"
find / -type f -name *.zip -size +100M -exec rm -i {} \;,search for .zip files that are larger than 100m found anywhere in the file system and delete those files.
find . -atime +1 -type f -exec mv {} TMP \;,move files older than 1 day to directory tmp
"echo ""bla@some.com;john@home.com"" | sed -e 's/;/\n/g'","replace all instances of "";"" with ""\n"" in ""bla@some.com;john@home.com"""
find -executable,search the current directory tree for executable files and searchable directories
crontab -l | sed '/anm\.sh/s#\/5#\/10#' | crontab -,"change all cron jobs running ""anm.sh"" to be run every 10 minutes instead of 5 minutes."
"find /path/with/files -type f -name ""*txt*"" -exec ln -s {} . ';'","create symbolic links in the current directory for all files located in directory ""/path/with/files"" with a name containing ""txt"""
"pdfunite `find . -name ""*.pdf"" | sort` all.pdf",concatenate all pdf files under current directory into all.pdf
ln -s $HOME/downloads/fnord $HOME/bin/,"create a symbolic link named ""$home/bin/"" to ""$home/downloads/fnord"""
"find PDFs/ -name '*.pdf' -exec sh -c 'pdftotext ""{}"" - | grep -i --with-filename --label=""{}"" --color ""perry sound""' \;","search the *.pdf files from directory tree pdfs/ for text ""perry sound"", ignoring the case"
basename $(pwd),print the base name of the current working directory
finger `id -un` | head -1 | cut -d: -f3-,print the full name of the current user
nohup rm -rf cache &,"run a ""rm"" process to recursively remove ""cache"", making it immune to all sighup signals sent to it."
find . -type f -print0 | xargs -0 ls -l,list all regular files in the current directory tree
find /usr /bin /sbin /opt -name sar,"find files/directories named 'sar' under '/usr', '/bin', '/sbin' and '/opt' directory tree"
ls -mR * | sed -n 's/://p',lists all paths to all subfolders in a current folder.
cd /the/project/root//data,"go to /the/project/root//data, which in most filesystems/operating systems will be the same as cd /the/project/root/data"
"find / -name ""*.old"" -delete",search the entire file hierarchy for files ending in '.old' and delete them.
du --summary --human-readable *,display summary of each specified file in human readable form
mount --rbind /something /new_something,"recursively bind mount ""/something"" on ""/new_something"""
find directory -mindepth 1 -type d -empty -delete,delete all empty directories in minimum 1 level down the directory 'directory'
mount /dev/shm,"mount ""/dev/shm"" using /etc/fstab entry"
find <directory> -type f -size +1M -delete,remove files that are greater than 1mb in size under <directory>
find . -type f \( -exec command1 \; -false -o -exec command2 \; \),find all files in current directory and execute command1 and command2 for each file
sed '/^$/d;s/ /\//g' struct.txt | xargs mkdir -p,"remove blank lines and replace "" "" with ""/"" in ""struct.txt"" as input to make directories with parents as needed"
find -name file -print,"search for a file ""file"" in current folder and display all instances of this file"
"rm -rf `find . -type d -name "".svn""`",delete all .svn subdirectories under current directory
find . -name \*.php -type f,find all php files in the current directory recursively
find . -name 'abc*' -exec echo {}' OK' \; | column -t,"find all files matching ""abc*"" in the current directory and append a column with ""ok"""
"finger -s | awk '{printf(""%s %s\n"", $1, $2);}'",print only name and login columns of the currently logged in users
more /var/log/syslog,"display the contents of /var/log/syslog one page at a time, pausing for user interaction between each."
find . -name ‘*.c’ | xargs egrep stdlib.h,find all the .c files in the current directory tree that contain the string ‘stdlib.h’
"tac files | sort -t- -k2,2 -n","numerically sort file ""files"" by the second ""-"" separated value of each line ordered from least value to highest value"
"find . -name ""*.php"" | xargs wc -l",counts lines in each of *.php files in a current folder and subfolders and prints total count as well.
ls -alR -I dev -I run -I sys -I tmp -I proc /path | md5sum -c /tmp/file,"calculate md5 checksum of the list of all files/dirs in /path recursively including dot files and excluding the patterns 'run', 'sys', 'tmp' and 'proc', then check the checksum against the checksum saved in /tmp/file"
exit -1,exits from process with exit code 255.
"find /dir \( -name node_modules -prune \) -o -name ""*.sh"" -exec grep --color -Hn ""your text to find"" {} 2>/dev/null \;","find all the files ending with "".sh"" in the folder /dir excluding those wth the name node_modules and search for a pattern in these files"
find . type -f -amin 2,search the current directory recursively for regular files last accessed 2 minutes ago
df -k /dir/inner_dir/,report file system containing path to /dir/inner_dir/ disk usage in kilobytes.
history 10 | cut -c 8-,print last 10 commands in history with the first 7 characters removed
find . -mtime -1 -ls,display a long listing of all the files in the current folder which have been modified in the last 24 hours
"find . -type f | sed 's/.*/""&""/' | xargs ls -E | awk '{ print $6,"" "",$7,"" "",$9 }' | sort | tail -1",find recursively the latest modified file in the current directory
"find /mnt/usb -name  ""*.mp3"" -print",search for all .mp3 files in the /mnt/usb directory tree
"find . -exec echo {} "";""",find all files/directories under current directory and print their paths
"find ./ -name ""foo.mp4"" -exec echo {} \;",find all foo.mp4 files in the current directory tree
"echo -e ""length(FOO_NO_LEAD_SPACE)==$(echo -ne ""${FOO_NO_LEAD_SPACE}"" | wc -m)""","reports count of characters in the value of ${foo_no_lead_space} variable as follows: ""length(foo_no_lead_space)==<counted number of characters>"""
"echo ""$a"" | awk '{print tolower($0)}'","display the contents of variable ""a"" converted to lowercase."
read -r -d $'\0',"read standard input until a null character is found and save the result in variable ""line"""
"ssh askapache 'sh -c ""( ( nohup chown -R ask:ask /www/askapache.com &>/dev/null ) & )""'","execute ""chown -r ask:ask /www/askapache.com"" in the background on server ""askapache"""
ln /media/public/xampp/mysql/data/my_db -s,"create a symbolic link in current directory named ""my_db"" to file ""/media/public/xampp/mysql/data/my_db"""
"find ""$STORAGEFOLDER"" -name .todo -printf '%h\n' | xargs ls -l","display a long list of all the directories which have files ending with "".todo"""
"find data/ -name ""filepattern-*2009*"" | cpio -ov --format=ustar > 2009.tar",archive all filepattern-*2009* files/directories under data/ into 2009.tar
find . -name ‘*.mp4’ >> /tmp/$$,find all the mp4 video files in the current folder and save the output to the file /tmp/$$
find /path/to/base/dir -type f,find all regular files in the /path/to/base/dir tree
"find /etc -name ""*.txt"" -ls",list all *.txt files/directories under /etc
"find . -name ""*shp*"" -exec mv {} ../shp_all/ \;",find all *shp* files/directories under current directory and move them to ../shp_all/
seq 1 10 | sort -R | tee /tmp/lst |cat <(cat /tmp/lst) <(echo '-------'),"print a randomly sorted list of numbers from 1 to 10 to file ""/tmp/lst"" and the screen followed by "" -------"""
echo '2-1' |sudo tee /sys/bus/usb/drivers/usb/unbind,"write ""2-1"" to standard output and to ""/sys/bus/usb/drivers/usb/unbind"""
find /tmp -type f -name sess* -exec rm -f {} \;,force remove all the regular/normal files which begin with sess in the temp folder
"find . -type f \! -iregex '.\|./.git' -exec perl -i'' -pe ""s/$1/$upper2/gi"" {} +",find all files under current directory that match the case insensitive regex .\|./.git and replace (all occurrences) the text matching the case insensitive regex expanded by $1 with $upper2 in these files
"find /var/adm/logs/morelogs/* -type f -prune -name ""*.user"" -print","display all the files ending with "".user"" in /var/adm/logs/morelogs/ and excluding all regular files"
"find . -printf ""%y %p\n""",print out the names and types of all files in the current directory tree
find folder_name -type d -exec chmod 775 ‘{}’ \;,"find all directories under and below directory ""folder_name"", and change their permissions to 775"
find / -group group2,find all files owned by group `group2'
find /path/to/look/in/ -type d -name '.texturedata',find all directories named '.texturedata' under '/path/to/look/in/' directory tree
find -user michel,find all files/directories owned by user 'michel' under current directory
find /home -type f -name *.sxw -atime -3 -user bruno,"display all the files in the home folder which belong to the suer ""bruno"" and end with "".sxw"" and have been accessed in the last 3*24 hours"
split -d -l $SPLITLIMT $INFILE x_,"split ""$infile"" into files of at most ""$splitlimt"" with a numeric suffix and a prefix ""x_"""
"join -t, -o 1.1,1.2,2.3 -a1 in1 in2","merge lines whose first comma-separated field in file 'in1' also appears as a first comma-separated in file 'in2', also outputting unmatched lines from 'in2' - both files must be sorted, and the output format of each line will be: first field of in1, second field of in2, and third field of in2."
find . -inum 31246 -exec rm [] ';',remove file with inode number 31246
"find ""`echo ""$some_dir""`"" -maxdepth 0 -empty",check if directory $some_dir is empty
"ps -e -orss=,args= | sort -b -k1,1n | pr -TW$COLUMNS",prints list of processes in system ascending by memory usage.
find . -name 'test*' -prune,find all files/directories under current directory tree that start with 'test' in their names without descending into directories with the same name pattern
mkdir -p `file -b --mime-type *|uniq`,make directory and parents as needed for each unique mime type in the current directory
"ln -sf ""$(readlink -f ""$1"")"" ""$*""","force create a symbolic link named ""$*"" to the canonical absolute path of ""$1"""
cal -h | cut -c 4-17 | tail -n +3  | wc -w,counts all business days in a current month.
"IFS=$'\n' read -d '' -ra files < <(find /foo -name ""*.txt"")",read all *.txt file paths under /foo into a bash array ($files)
"seq 10 | xargs -i --max-procs=4 bash -c ""echo start {}; sleep 3; echo done {}""","run 10 bash processes at most 4 at a time of ""echo start n; sleep 3; echo done n"" for n ranging from 1 to 10"
uname -i,"display hardware platform, ie. x86_64 even if current kernel uses 32-bit addressing."
rand_str=$(mktemp --dry-run ${str// /X}),creates random file name formatted like expression in variable ${str// /x} and saves it in 'rand_str' variable.
"joblist=$(jobs -l | tr ""\n"" ""^"")",list jobs and their process ids and print them by replacing newline with '^'
find /var/www/vhosts/*/httpdocs -type f \( -iwholename '*/libraries/joomla/version.php' -o -iwholename '*/libraries/cms/version.php' -o -iwholename '*/libraries/cms/version/version.php' \) -print0 -exec perl -e 'while (<>) { $release = $1 if m/ \$RELEASE\s+= .([\d.]+).;/; $dev = $1 if m/ \$DEV_LEVEL\s+= .(\d+).;/; } print qq( = $release.$dev\n);' {} \;,search for all the joomla's version.php files in various directories and display the latest versions of it.
su - jetty cp file1 file2,make a copy of file file1 named file2
find /var/www -name *.gif -o -name *.jpg,find all .gif and .jpg files in the /var/www directory tree
sed -i '/pattern/d' filename,"delete all lines matching ""pattern"" in ""filename"""
"sed -i.bak ""s#https.*\.com#$pub_url#g"" MyHTMLFile.html","replace all urls in ""myhtmlfile.html"" with ""$pub_url"" and create a backup with suffix "".bak"""
ionice -c 3 find  . -type f -amin -1440 -mmin +1441 -not -path custom/ -print0,find all the regular/normal files in the current folder which have been accessed in the last 1440*24 hours and not modified in 1441*24 hours excluding those which are in the custom sub directory tree
"find /var/www -type f -name ""*.html""",find all regular .html files in the /var/www directory tree
find /home/ -type f -size +512k -exec ls -lh {} \;,display list of all the regular/normal files in the home folder which are bigger than 512 kb
find . -name Chapter1 -type f -print,find all regular files named 'chapter1' under current directory tree
yes image.png | head -n10 | xargs echo,"repeat ""image.png"" 10 times on a single line"
"yes x | head -10 | awk 'BEGIN { RS = ""%%%%%%%"" } { split($0,a,""\n""); for (i=1; i<length(a); i+=4) print a[i], a[i+1], a[i+2], a[i+3] }'","print 10 space separated ""x""s with at most 4 per line"
find .,find all files and directories starting from the current directory
find . -mtime +180 -exec du -sh {} \;,search for all the files which have not been modified in the last 6 months (180 days) in current folder and display the disk usage of them
find /mnt/naspath -name .snapshot -prune -o \( -type f -mtime 0 -print0 \),find all files under /mnt/naspath directory without descending into .snapshot directory that were modified in last 24 hours with null character as the delimiter
rename 'y/A-Z/a-z/' *,rename all files in current directory to lowerase.
"find /home/jassi/ -type f -name ""aliencoders.[0-9]+""",find all aliencoders.[0-9]+ files under /home/jassi/ directory
"find . -name ""*fink*"" |xargs ls -l",list all *fink* files/directories under current directory
"echo ""$DIREC"" | od -c","print a hex dump of ""$direc"" as characters"
grep PROBES /boot/config-$(uname -r),display all lines containing probes in the current kernel's compile-time config file.
find . -type d –print | wc -l,display the count of all the directories in the current folder
"find . -type f -printf '%T@ %p\n' | sort -n | tail -1 | cut -f2- -d"" "" | sed 's/.*/""&""/' | xargs ls -l",find recursively the latest modified file in the current directory
set `od -j $o -N 8 -t u1 $pkg`,"extract 8 bytes as an unsigned integer that is ""$o"" offset into ""$pkg"""
sort foo.txt,"sort file ""foo.txt"" by line to standard output"
find . -name myfile.txt -print,search the file myfile.txt in the current folder
find / \( -perm -006 -o -perm -007 \) \( ! -type -l \) -ls,find all files that have wrong permission
find . -iregex '.*sitesearch.*' -iregex '.*demo.*',"search for all files with either ""sitesearch"" or ""demo"" in their path names"
zcat input.gz | sed -n 's/.*\(userAgent=[^=]*\) [^ =][^ =]*=.*/\1/p',"unzip and extract ""*\(useragent=[^=]*\) [^ =][^ =]*=.*"" from ""input.gz"""
"find . \( -name ""my*"" -o -name ""qu*"" \) -print","look in the current directory and below for all files whose names begin with either ""my"" or ""qu"""
find .  -ctime +7 -print,search  in current directory downwards all files whose status has changed more then 7  days ago
"find . -type f -printf ""%s + "" | dc -e0 -f- -ep",get the total size in bytes of all files in the current directory tree
find . -name \*.php -type f -exec grep -Hn '$test' {} \+ | wc -l,search for a word in all the php files in the current folder and display the count of all matching lines.
find /etc -iregex '.*xt.*',find all files/directories case insensitively containing 'xt' in their names under '/etc' directory tree
find . -iregex './\(RT\|ED\).*' | head,find all files/directories under current directory that match the case insensitive regex ./\(rt\|ed\).* and show several lines of output from the beginning
find . -name '*bills*' -exec grep put {} \;,"search the files residing in the current directory tree whose names contain ""bills"" for ""put"""
"diff /tmp/ksh-{9725,9781}.log | grep ^\<","display differences in ""/tmp/ksh-9725.log"" when compared to ""/tmp/ksh-9781.log"""
"find . -name ""*.flac"" -exec basename \{\} .flac \;","display the base name(name without extension) of all the "".flac"" files in the current folder"
"rsync -rcn --out-format=""%n"" old/ new/","recursively copy ""old/"" to ""new/"" as a dry run skipping files that have matching checksums and output the name only"
"find . -name 'php.ini' -exec sed -i 's/log_errors = Off/log_errors = On/g' ""{}"" \;","replace all occurrence of ""log_errors = off"" with ""log_errors = on"" in all 'php.ini' files in the current directory tree"
rm $(<xaa),removes files that are listed in file 'xaa'.
tempfile=XXX-$(od -N4 -tu /dev/random | awk 'NR==1 {print $2} {}'),"save ""xxx-"" followed by a random 4 byte unsigned integer to variable ""tempfile"""
find .  -type f  -exec ls -lrt {} \; |awk -F' ' '{print $9}',"find all file name in curent directory ,  -exec will file all file output  awk used here for print only file name ."
find -iname '*~' | xargs rm,"remove all files from the current directory tree whose names end in ""~"""
cat file1 file2 |sort -t. -k 2.1,sort content of files 'file1' and 'file2' by second of dot-separated fields.
